DATE,Sales,CPI_all,CPI_lfe,CPI_NewV,CPI_UsedV,CapUtil,PayrollNF,UnempRT
1976-01-01,12.814,55.8,55.9,65.5,45.1,75.8112,78503,7.9
1976-02-01,13.34,55.9,56.2,65.8,45.8,80.8298,78816,7.7
1976-03-01,13.378,56.0,56.5,66.1,47.3,80.6025,79048,7.6
1976-04-01,13.222999999999999,56.1,56.7,66.3,48.8,82.3248,79292,7.7
1976-05-01,12.962,56.4,57.0,66.4,49.8,82.1777,79312,7.4
1976-06-01,13.050999999999998,56.7,57.2,66.5,50.4,83.5208,79376,7.6
1976-07-01,13.466,57.0,57.6,66.7,51.0,85.068,79547,7.8
1976-08-01,12.953,57.3,57.9,67.1,51.7,86.3502,79704,7.8
1976-09-01,13.61,57.6,58.2,67.6,52.3,76.5447,79892,7.6
1976-10-01,12.823,57.9,58.5,68.7,52.9,72.299,79911,7.7
1976-11-01,13.332,58.1,58.7,68.4,53.6,85.8141,80240,7.8
1976-12-01,14.527000000000001,58.4,58.9,68.6,54.5,95.8337,80448,7.8
1977-01-01,14.395999999999999,58.7,59.3,68.8,55.3,88.3357,80690,7.5
1977-02-01,14.709000000000001,59.3,59.7,68.9,56.3,85.8944,80988,7.6
1977-03-01,15.17,59.6,60.0,69.3,57.0,92.0548,81391,7.4
1977-04-01,15.135,60.0,60.3,69.4,57.2,89.8151,81728,7.2
1977-05-01,14.984000000000002,60.2,60.6,69.7,56.7,88.491,82088,7.0
1977-06-01,14.952,60.5,61.0,70.0,55.8,93.2289,82488,7.2
1977-07-01,14.640999999999998,60.8,61.2,70.3,54.9,93.4729,82834,6.9
1977-08-01,14.859000000000002,61.1,61.5,70.6,53.9,91.659,83075,7.0
1977-09-01,14.65,61.3,61.8,70.9,53.4,91.2272,83532,6.8
1977-10-01,14.9,61.6,62.0,72.1,52.7,91.8387,83800,6.8
1977-11-01,14.799000000000001,62.0,62.3,72.6,52.6,87.2499,84173,6.8
1977-12-01,15.175,62.3,62.7,73.6,52.2,89.4396,84410,6.4
1978-01-01,13.704,62.7,63.1,74.2,52.6,76.9879,84594,6.4
1978-02-01,14.363,63.0,63.4,74.5,52.8,81.2854,84948,6.3
1978-03-01,15.165999999999999,63.4,63.8,74.8,53.1,89.069,85460,6.3
1978-04-01,16.198,63.9,64.3,74.7,53.5,96.1684,86162,6.1
1978-05-01,16.298,64.5,64.7,74.9,54.3,90.8244,86509,6.0
1978-06-01,16.348,65.0,65.2,75.4,55.5,91.4072,86950,5.9
1978-07-01,15.527999999999999,65.5,65.6,75.7,56.6,94.5297,87204,6.2
1978-08-01,16.045,65.9,66.1,76.0,57.4,94.2526,87483,5.9
1978-09-01,14.640999999999998,66.5,66.7,76.6,57.9,91.486,87621,6.0
1978-10-01,15.845,67.1,67.2,77.3,58.4,93.9666,87956,5.8
1978-11-01,15.484000000000002,67.5,67.6,77.9,58.8,98.1303,88391,5.9
